time,magnitude,longitude,Latitude,depth,rainfall
1664548639,4.2,121.42,22.84,15,6
1663553263,5.7,121.35,23.42,10,3
1663493995,5.4,121.34,23.28,10,0.5
1663490792,4.9,121.23,23.14,15,0
1663484255,4.8,121.26,23.09,10,0
1663483454,6.9,121.3,23.15,10,0
1663482721,5,121.2,23.17,10,0
1663480479,4.1,121.34,23.1,10,0.5
1663478358,5.7,121.27,23.09,12,0
1663466408,4,121.46,23.05,8,0.5
1663465950,4.4,121.58,23.04,9,0.5
1663465915,4.3,121.38,23.12,10,0.5
1663437808,4.3,121.45,23.06,10,0.5
1663425927,5.3,121.25,23.1,10,1
1663425313,4.7,121.2,23.1,10,0.5
1663422941,4.7,121.29,23.1,10,1
1663422078,6.5,121.21,23.05,10,0
1663119350,4.2,121.44,22.46,16,0.5
1662140109,4.2,122.33,24.03,15,13
1660968468,4.2,122.39,24.08,19,0
1658967375,4.6,121.38,23.09,15,0
1658622754,4.7,121.57,23.24,28,0
1656423810,5.3,120.11,22.18,20,1
1656423299,4.8,120.12,22.18,20,1
1656367403,4.5,120.2,22.09,34,1
1656360421,4.7,120.13,22.08,25,1
1656261955,4.1,121.55,23.71,10,4
1656164074,4.9,121.46,23.63,7,4
1656124038,4.5,121.48,23.61,10,0
1656023541,4.9,122.33,24.13,8,0
1656015681,4.2,121.5,23.59,10,0.5
1655931763,4.2,121.53,23.63,10,0.5
1655698515,4.1,121.56,23.66,10,0.5
1655689183,4.5,121.5,23.73,10,0
1655687107,5.9,121.52,23.66,10,0.5
1650736427,4,121.75,24.66,50,0
1649963219,4.4,121.5,23.77,8,4.5
1649302859,4.1,121.47,23.01,18,2
1648458026,4.3,121.32,23.09,13,0
1648082304,5.2,121.58,23.24,24,1.5
1648082293,4.2,121.54,23.45,19,0
1648068330,4.1,121.48,23.59,10,1.5
1647985266,4.3,121.55,23.31,15,13
1647980997,5.7,121.52,23.39,20,14
1647977702,5.2,121.6,23.44,15,14
1647974269,4.7,121.55,23.43,30,14
1647972693,4.1,121.52,23.38,20,14
1647971007,5.7,121.4,23.5,20,9
1647970898,6.6,121.55,23.45,20,14
1647968815,4.5,121.37,22.12,19,4
1647904150,4.7,122.36,23.96,17,0
1647703423,4.6,120.7,23.66,25,0
1646828532,5.1,121.58,23.21,30,0
1644597789,5.4,122.44,24.01,10,0.5
1644583889,4.1,122.29,24.01,20,6.5
1644231504,5.1,122.01,24.39,34,1.5
1643121353,4.3,121.98,24.64,46,6
1642320940,4.9,122.27,24.17,30,0
1641251846,4.8,122.35,24.02,14,2.5
1641203194,6.4,122.39,24,15,0
1640084371,3.8,120.5,23.14,19,8.5
1638795951,4.5,122.02,24.92,90,0
1637747718,4.8,122.33,24.03,20,0
1637115934,4.7,122.25,24.8,10,0.5
1636895115,4.8,122.02,24.58,50,0
1636482251,4.2,122.45,23.94,9,2
1635052294,6.3,121.8,24.55,60,37.5
1634958963,4.9,121.69,24.09,10,0.5
1634536157,4.3,121.76,24.22,31,0
1633327670,4.6,122.27,24.86,10,0
1632608477,4.8,121.67,24.47,20,0.5
1631529686,4.6,121.09,24.13,35,5
1630936825,5.2,122.07,23.9,21,0
1630580218,4.4,120.57,23.14,5,36.5
1630448876,4.1,120.73,23.24,17,31.5
1629716197,4.4,122.37,24.8,5,0
1629633122,4.2,120.56,23.21,20,0
1629359456,4,121.67,23.94,8,15
1628248350,5.1,121.31,23.15,10,6
1628237464,5.4,122.3,24.76,20,2.5
1628113845,5.8,122.31,24.82,10,0.5
1627599317,4.3,121.61,23.85,6,5
1626607542,4,121.69,24.02,5,0
1626391766,4.4,121.7,23.94,7,0
1626390304,4.4,121.62,23.98,8,0
1626282045,4.3,121.62,23.95,10,0
1626267333,4,121.69,23.97,10,0
1626233792,4.2,121.72,23.94,10,0
1626219927,4.8,121.67,23.94,10,0
1626217165,4.4,121.65,23.93,10,0
1626216724,5.2,121.73,23.89,10,0
1625695915,5.1,121.68,23.88,10,0
1625665107,4.3,121.66,23.87,7,0
1625657098,5.3,121.66,23.88,9,0
1624426825,4.5,121.5,24.07,21,8
1624200613,4.4,121.52,23.78,10,4.5
1623448738,4.9,121.14,22.64,10,1.5
1621961280,4.3,121.53,23.96,21,0.5
1620422656,4.3,120.85,22.66,10,0.5
1619561453,4.2,120.95,23.14,12,1
1618755278,6.1,121.43,23.94,5,4.5
1618755099,5.6,121.53,23.92,7,0
1617801575,4.2,121.6,23.81,20,0
1614867896,4.3,122.36,24.75,10,0
1613958647,4.5,121.89,22.42,75,0
1613587127,4.6,121.41,22.23,16,0
1612803481,5.3,122.12,24.32,20,0
1612803391,4,122.43,24.32,20,0
1611818971,4.5,121.12,22.49,10,6
1611574762,4,122.27,24.83,95,0
1610838656,5.1,121.44,22.44,20,0
1610249009,4.3,121.49,23.77,11,0
1610192150,5.1,122.21,24.7,80,0
1609594007,4.4,122.24,24.07,24,0.5
1607624108,4.4,122.06,24.53,49,21.5
1607606398,5.8,121.99,24.74,80,16.5
1607578176,4.7,121.66,23.44,18,1.5
1606657334,4.4,122.28,24.14,32,3
1605511154,4.6,121.23,22.06,44,0.5
1604626815,4.9,122.16,23.13,15,59
1604601371,4.7,121.45,22.58,17,53
1602946994,4.9,120.35,23.33,12,2.5
1602517183,4.3,122.01,24.52,9,38
1601440638,5,122.14,24.85,116,0
1601342056,4.8,121.06,22.31,14,0
1601326253,5,121.1,22.29,13,0
1600833601,3.7,121.47,23.36,13,0
1600646087,4.4,121.67,22.42,6,13.5
1600306671,4.3,121.43,23.01,15,0
1597806812,4.3,120.35,23.25,13,0.5
1597107666,4.2,121.91,24.73,64,0
1595767947,5.5,122.48,24.27,50,0
1594265062,4.3,121.74,24.17,18,0
1593435167,4.7,122.34,24.3,60,0
1593214065,4.4,120.86,23.07,10,62.5
1592079539,5.5,122.41,24.29,27,0
1591839507,4.6,122.43,24.55,70,0
1591494563,4,121.67,24.12,11,95.5
1590843751,4,121.46,24.14,10,0
1590694463,4.2,120.8,23.63,26,36
1590359487,4.8,122.18,24.28,10,0.5
1588476280,5.4,121.6,23.29,40,0
1586691399,4.2,122.29,24.03,24,0.5
1586389758,4.4,121.95,24.27,24,0
1582695254,3.8,121.68,23.87,23,0.5
1582629242,4.9,121.45,24.42,15,0
1582090065,4.3,121.59,23.87,9,0
1581794413,4.5,121.63,23.82,11,5
1581764701,4.7,121.53,23.86,10,0
1581764407,5.4,121.49,23.95,10,1
1581629921,4.2,121.32,22.36,20,0
1581616159,4.5,122.14,24.22,29,0
1580749376,4.6,121.56,23.59,24,0
1580450979,4.2,122.05,24.86,10,0
1578293636,4.6,120.29,23.4,10,0
1577819410,4.7,121.73,24.06,13,2.5
1576495557,4.5,121.82,24.55,43,0
1574645562,4.5,121.77,24.01,10,0
1572722793,4.2,122.06,24.38,23,0
1570468625,4.3,122.48,24.7,7,13.5
1568095683,4.6,121.88,24,9,0
1567471650,4.3,121.6,23.71,7,1.5
1567237820,4.1,121.64,23.09,10,2.5
1566101114,5,121.57,23.74,6,18.5
1566053527,4.1,121.54,23.74,9,1.5
1565213282,6.4,121.96,24.52,30,46.5
1565055090,4.5,121.62,23.64,10,10
1565054388,4.9,121.7,23.61,13,2.5
1564784684,4.8,121.58,23.63,5,0.5
1564753989,4.5,121.61,23.66,7,0
1564123196,4,121.8,24.77,60,0
1563275550,3.7,122.49,24.22,60,0
1562610935,4.4,122.48,23.82,9,0
1561837451,4.8,122.31,22.43,30,0
1559762838,3.8,121.74,23.78,20,0
1559641576,5.8,121.75,22.82,9,0
1559317998,4.2,120.58,22.89,27,3.5
1558591969,4.5,121.57,24.02,15,28.5
1558557687,4.1,122.16,23.73,18,24
1558489044,4,121.67,23.96,20,0.5
1557737720,3.9,121.93,24.73,61,1
1555563665,6.7,121.65,24.02,24,5.5
1554850672,4,121.94,24.21,23,0
1554841453,4.3,121.65,23.93,10,3.5
1554822802,5,121.61,23.96,10,0
1554706690,4.4,121.49,22.05,11,0
1554343015,5.1,120.85,22.99,10,0
1554256376,5.7,120.87,22.95,12,0
1554087276,4.3,122.22,24.95,100,3.5
1552968094,3.6,121.89,24.8,77,0.1
1552511242,4.3,121.42,23.04,15,0
1552451554,4.6,121.64,23.65,24,8.5
1552012334,5.3,121.34,22.46,11,9
1550239686,4.1,121.81,23.81,32,0
1549995782,4.1,121.6,23.75,6,4.5
1549989542,4.1,122.43,24.94,9,0
1549558325,4.6,120.61,23.28,24,0
1548861294,4.3,120.37,22.02,8,0
1548825694,5.2,122.43,23.77,20,0
1548127165,4.5,121.42,22.24,16,0.5
1546949805,4.7,121.64,23.2,30,0
1546538569,4.4,121.04,22.9,10,0
1544908865,5.2,121.8,23.71,26,30
1544621064,4.6,121.6,23.93,18,0.5
1544368541,4.8,121.57,24.02,21,1
1542645093,3.8,121.87,24.54,11,14.5
1542638416,4,121.9,24.32,23,0
1542608340,4.4,122.48,23.96,16,0
1539164591,4.6,122.11,24.9,10,168.5
1534551317,4.7,120.94,24.06,10,16
1534500582,4.5,121.03,24.02,19,32.5
1533217098,4.4,120.67,23.67,18,2
1531507118,4.7,121.25,22.96,4,0
1530609655,4.3,120.92,23.18,6,3
1530516370,4.3,120.44,23.46,15,174
1529096034,4.1,121.85,24.63,79,0
1528750349,4.6,121.7,23.96,11,0
1528731726,4.3,121.74,23.95,8,0.5
1527904870,4.3,121.02,23.9,18,0
1527875006,4.1,121.53,23.93,16,2
1527728597,4.9,121.34,22.77,9,0
1526699347,4.2,122.23,24.94,24,0
1526098665,3.8,121.74,23.85,39,0
1525218424,5.2,122.29,23.97,15,0.5
1524985357,4.3,121.05,22.33,8,0
1524808554,4.2,121,22.35,17,2.8
1524503431,4.2,122.45,23.91,15,0
1524308214,4,121.66,23.11,8,0
1523886539,4.4,121.37,23.05,18,0
1522282670,4.9,120.97,24.08,6,0
1522232997,3.9,121.96,24.67,66,0.1
1521728871,4.4,120.59,23.65,11,0
1521537776,5.1,120.52,23.33,14,1.5
1521024521,4.4,122.07,24.12,6,1
1520098551,4.6,121.86,24.23,9,1
1519583320,5,121.97,24.43,17,0
1519254640,4.9,121.66,23.5,26,5
1519051620,4.9,121.63,24.61,59,0
1518981709,4.2,121.12,23.92,27,0
1518201789,4.5,121.83,24,10,0.5
1518059164,4.2,121.62,23.95,6,5
1518051257,4.9,121.62,23.94,8,5.5
1518016890,6.1,121.79,24.07,12,1
1518013160,4.6,121.78,23.92,10,17
1518008800,4.8,121.78,24.07,11,1
1518001985,5,121.79,23.98,13,17
1517974578,4.8,121.74,24.05,11,2
1517969884,4.8,121.71,24.07,8,2
1517960633,4.6,121.62,24.03,7,2
1517958703,4.5,121.68,24.04,6,2
1517950583,4.6,121.68,24.07,6,2
1517945797,4.1,121.71,23.98,9,17
1517944530,5.9,121.69,24.02,10,2
1517940460,5.2,121.68,24.05,10,2
1517940013,5.2,121.74,24.1,10,1
1517933878,4.4,121.59,24.01,8,2
1517932242,6.5,121.71,24.13,11,0.5
1517906210,4.6,121.72,24.15,10,0
1517893754,4.8,121.75,24.16,7,0
1517846322,4.8,121.7,24.08,7,6
1517753592,5.5,121.75,24.16,10,5.5
1517753452,4.1,121.77,24.22,7,1.5
1517752601,6.4,121.72,24.2,10,5.5
1517749970,4.7,121.9,24.15,7,1
1516984290,3.9,120.98,22.96,8,3
1513120658,4.1,122.4,24.04,18,99
1511470532,4.2,120.69,23.6,22,0.5
1511360410,5.2,120.6,23.71,16,0
1510440860,3.6,122.08,24.68,55,0
1510402973,5,120.69,23.68,20,9.5
1510398880,4.1,120.62,23.71,10,4.5
1509752087,4.7,121.59,23.62,13,2.5
1509677340,4.9,120.98,23.01,6,0
1509318944,4.7,122.16,24.13,29,0
1507505392,4,121.34,22.49,7,24.5
1506232185,4,122.32,24.01,19,0
1505917795,5.5,121.85,23.35,15,3.5
1505687992,3.8,121.71,23.52,21,0
1505096740,3.4,122.09,24.77,87,0
1502582914,3.8,121.1,22.13,60,0
1502416734,4.3,121.41,23.19,21,0
1499814455,2.9,122.46,24.47,50,0
1498029938,3.9,121.84,24.72,11,0
1495691292,4.3,120.5,23.45,15,1
1495631454,4.7,120.49,23.44,16,1
1495619344,4.1,120.49,23.44,17,1
1494889973,5.6,121.49,23.31,10,17.5
1493960849,4,121.65,23.38,34,15.5
1492705212,4,121,22.93,6,0
1490805242,4,121.03,22.49,10,0
1488924651,4.1,122.17,24.32,38,0
1487420859,3.6,121.24,22.56,8,1
1487055274,3.2,121.68,22.57,10,2
1486746771,5.6,120.2,22.85,20,0
1485329585,3.6,121.95,24.16,45,0
1483513642,3.7,121.85,24.12,47,0
1483057853,4.2,121.91,24.93,70,0
1481811270,5.1,121.26,22.86,5,0
1481256586,4.3,121.99,24.79,20,0
1480507473,5,121.39,22.78,11,5.5
1480377579,3.4,121.18,22.34,8,0
1480024554,5.2,122.38,24.14,19,0
1478903131,4.7,122.43,24.11,21,0
1478519786,4.5,121.39,23.01,18,0
1477370751,4.8,121.36,22.71,10,26.5
1475769119,5.9,121.38,22.6,20,47.5
1472660933,4.4,122.2,24.47,20,0
1469592157,4.4,121.72,24.32,5,0
1468467143,4,121.42,23.12,17.8,0
1467361422,4.4,122.32,24.05,18.9,0
1466409212,3.4,121.75,24.95,85,0
1466383187,4.3,121.57,23.2,26.4,0
1464576766,4.1,121.82,24.17,4.1,7.5
1463882777,4.2,120.63,22.88,5,20.5
1463863901,4.4,120.62,22.89,26.8,20.5
1463809667,4,121.81,24.19,12.1,2.5
1463530964,4.1,121.64,23.23,23.1,0
1463196769,4.7,121.71,24.23,10,16
1463195523,4.6,121.85,24.19,19,17.5
1463127852,5,121.98,24.78,5.9,0.5
1463027396,5.8,122.02,24.77,15,0
1463023033,6.2,122,24.71,15,0
1462733402,4,121.77,24.22,6.3,2.5
1462675591,4.6,121,24.04,5.9,0
1462632668,4.3,121.86,24.18,10.3,0
1462521203,4,121.49,23.58,6.5,0
1462222417,4.2,121.72,24.21,11.6,0
1462199340,4.6,121.71,24.29,7,0
1462080348,4,121.87,24.24,10,0
1461806086,4.2,121.85,24.31,7.9,0
1461781145,5.2,121.3,23.26,8.3,0
1461770858,4.9,121.83,24.26,6.9,0
1461770230,5.6,121.71,24.22,7.5,0
1460804145,4.4,121.93,22.53,8.3,0
1460430481,4.2,121.64,24.02,9.4,0
1460353508,4.5,122.04,24.68,50,14
1459152478,3.8,121.16,22.84,10,0
1457201465,3.2,121.67,24.76,15,0.5
1456541992,4.4,120.98,22.33,10,0
1456215986,3.8,122.33,24.09,8,0
1455758314,4.6,120.92,22.99,13,0.5
1455757780,5,120.88,23.04,10,0.5
1455595497,4.5,120.85,23.09,13,7
1455590760,4.2,120.96,22.96,13,0
1454978820,5.3,121.77,23.92,6,0
1454702246,6.7,120.54,22.94,15,0
1453169606,5.4,121.42,22.83,27,2
1452705756,4.3,121.9,24.13,7,0.5
1452705106,4.1,121.93,24.14,8,0.5
1452487974,4.5,121.63,23.41,11,2.5
1451829688,3.7,122.03,24.64,52,14.5
1451102722,4,121.76,24.22,7,1.5
1450992021,4.2,121.02,24.08,6,2
1449376969,3.8,121.88,24.2,6,0.5
1449153073,4.6,121.38,22.68,8,1.5
1449035579,4.1,121.92,24.22,7,0
1449033716,4.4,121.89,24.23,8,0
1446714386,3.9,121.77,24.07,9,0
1446509190,4.7,121.97,24.96,7,0
1446412181,5.6,121.65,22.8,10,1.5
1445239211,4.8,122.43,24.75,8,4
1445233334,4.5,121.79,24.97,7,7
1445221056,5.3,122.01,24.94,7,0
1444953165,4.1,121.79,24.29,16,0
1444736943,4.6,121.59,23.59,8,0.5
1444648487,4.6,121.45,22.47,8,0
1444254612,3.8,121.84,24.25,7,0
1443555464,3.8,121.61,23.98,14,0
1442413797,4.4,121.86,24.31,9,0
1442410225,4,121.87,24.28,16,0
1442408937,5.4,121.92,24.32,7,0
1442345854,5.7,121.86,24.33,7,0
1442339782,4.3,121.82,24.29,8,0
1441898605,4.4,121.9,24.26,9,0
1441163015,4.1,122,24.94,8,0
1441160294,4.4,121.93,24.95,8,0
1441128848,4.5,122.25,24.15,8,0
1441113885,5,121.49,24,6,0
1439474880,5.2,122.41,24.1,7,0
1438066751,4.5,121.42,24.45,8,0
1434867331,4.2,122.37,24.05,20,0
1434467767,3.8,121.69,23.6,6,0
1432799863,4,122.34,24.06,8,0
1432601815,4.2,122.41,24.03,9,0
1432588970,4.3,120.93,22.96,10,0
1431628548,4.1,120.53,24.48,6,0
1431387795,4.3,121.47,23.96,8,0
1431334437,4.1,120.44,24.52,10,0
1431333500,5,120.56,24.52,10,0
1430658547,4.4,122.36,24.07,7,0
1430484883,3.6,120.58,24.45,6,0
1429528845,4.9,121.59,23.74,30,0
1429127317,4,121.28,22.84,7,0
1428945237,4.2,121.06,23.98,9,0
1427483379,3.7,121.48,22.35,9,0
1427105631,5.7,121.69,23.84,20,16
1424969402,4,122.22,24.69,65,1
1423857988,6.2,121.54,22.61,7,1
1423726533,3.8,121.71,24.31,10,0
1423037683,3.2,121.7,24.57,6,0
1422083726,4.2,120.43,23.21,9,0
1421786660,4,122.07,24.16,7,0
1421639309,3.9,121.67,22.83,65,0
1421435535,4.4,121.85,24.48,6,0
1420606111,5.2,121.7,24.34,10,0
1420437223,3.8,121.99,24.69,40,0
