time,magnitude,longitude,Latitude,depth,rainfall
2022-09-30 22:37:19,4.2,121.4200,22.8400,15.00,6.0
2022-09-19 10:07:43,5.7,121.3500,23.4200,10.00,3.0
2022-09-18 17:39:55,5.4,121.3400,23.2800,10.00,0.5
2022-09-18 16:46:32,4.9,121.2300,23.1400,15.00,0.0
2022-09-18 14:57:35,4.8,121.2600,23.0900,10.00,0.0
2022-09-18 14:44:14,6.9,121.3000,23.1500,10.00,0.0
2022-09-18 14:32:01,5.0,121.2000,23.1700,10.00,0.0
2022-09-18 13:54:39,4.1,121.3400,23.1000,10.00,0.5
2022-09-18 13:19:18,5.7,121.2700,23.0900,12.00,0.0
2022-09-18 10:00:08,4.0,121.4600,23.0500,8.00,0.5
2022-09-18 09:52:30,4.4,121.5800,23.0400,9.00,0.5
2022-09-18 09:51:55,4.3,121.3800,23.1200,10.00,0.5
2022-09-18 02:03:28,4.3,121.4500,23.0600,10.00,0.5
2022-09-17 22:45:27,5.3,121.2500,23.1000,10.00,1.0
2022-09-17 22:35:13,4.7,121.2000,23.1000,10.00,0.5
2022-09-17 21:55:41,4.7,121.2900,23.1000,10.00,1.0
2022-09-17 21:41:18,6.5,121.2100,23.0500,10.00,0.0
2022-09-14 09:35:50,4.2,121.4400,22.4600,16.00,0.5
2022-09-03 01:35:09,4.2,122.3300,24.0300,15.00,13.0
2022-08-20 12:07:48,4.2,122.3900,24.0800,19.00,0.0
2022-07-28 08:16:15,4.6,121.3800,23.0900,15.00,0.0
2022-07-24 08:32:34,4.7,121.5700,23.2400,28.00,0.0
2022-06-28 21:43:30,5.3,120.1100,22.1800,20.00,1.0
2022-06-28 21:34:59,4.8,120.1200,22.1800,20.00,1.0
2022-06-28 06:03:23,4.5,120.2000,22.0900,34.00,1.0
2022-06-28 04:07:01,4.7,120.1300,22.0800,25.00,1.0
2022-06-27 00:45:55,4.1,121.5500,23.7100,10.00,4.0
2022-06-25 21:34:34,4.9,121.4600,23.6300,7.00,4.0
2022-06-25 10:27:18,4.5,121.4800,23.6100,10.00,0.0
2022-06-24 06:32:21,4.9,122.3300,24.1300,8.00,0.0
2022-06-24 04:21:21,4.2,121.5000,23.5900,10.00,0.5
2022-06-23 05:02:43,4.2,121.5300,23.6300,10.00,0.5
2022-06-20 12:15:15,4.1,121.5600,23.6600,10.00,0.5
2022-06-20 09:39:43,4.5,121.5000,23.7300,10.00,0.0
2022-06-20 09:05:07,5.9,121.5200,23.6600,10.00,0.5
2022-04-24 01:53:47,4.0,121.7500,24.6600,50.00,0.0
2022-04-15 03:06:59,4.4,121.5000,23.7700,8.00,4.5
2022-04-07 11:40:59,4.1,121.4700,23.0100,18.00,2.0
2022-03-28 17:00:26,4.3,121.3200,23.0900,13.00,0.0
2022-03-24 08:38:24,5.2,121.5800,23.2400,24.00,1.5
2022-03-24 08:38:13,4.2,121.5400,23.4500,19.00,0.0
2022-03-24 04:45:30,4.1,121.4800,23.5900,10.00,1.5
2022-03-23 05:41:06,4.3,121.5500,23.3100,15.00,13.0
2022-03-23 04:29:57,5.7,121.5200,23.3900,20.00,14.0
2022-03-23 03:35:02,5.2,121.6000,23.4400,15.00,14.0
2022-03-23 02:37:49,4.7,121.5500,23.4300,30.00,14.0
2022-03-23 02:11:33,4.1,121.5200,23.3800,20.00,14.0
2022-03-23 01:43:27,5.7,121.4000,23.5000,20.00,9.0
2022-03-23 01:41:38,6.6,121.5500,23.4500,20.00,14.0
2022-03-23 01:06:55,4.5,121.3700,22.1200,19.00,4.0
2022-03-22 07:09:10,4.7,122.3600,23.9600,17.00,0.0
2022-03-19 23:23:43,4.6,120.7000,23.6600,25.00,0.0
2022-03-09 20:22:12,5.1,121.5800,23.2100,30.00,0.0
2022-02-12 00:43:09,5.4,122.4400,24.0100,10.00,0.5
2022-02-11 20:51:29,4.1,122.2900,24.0100,20.00,6.5
2022-02-07 18:58:24,5.1,122.0100,24.3900,34.00,1.5
2022-01-25 22:35:53,4.3,121.9800,24.6400,46.00,6.0
2022-01-16 16:15:40,4.9,122.2700,24.1700,30.00,0.0
2022-01-04 07:17:26,4.8,122.3500,24.0200,14.00,2.5
2022-01-03 17:46:34,6.4,122.3900,24.0000,15.00,0.0
2021-12-21 18:59:31,3.8,120.5000,23.1400,19.00,8.5
2021-12-06 21:05:51,4.5,122.0200,24.9200,90.00,0.0
2021-11-24 17:55:18,4.8,122.3300,24.0300,20.00,0.0
2021-11-17 10:25:34,4.7,122.2500,24.8000,10.00,0.5
2021-11-14 21:05:15,4.8,122.0200,24.5800,50.00,0.0
2021-11-10 02:24:11,4.2,122.4500,23.9400,9.00,2.0
2021-10-24 13:11:34,6.3,121.8000,24.5500,60.00,37.5
2021-10-23 11:16:03,4.9,121.6900,24.0900,10.00,0.5
2021-10-18 13:49:17,4.3,121.7600,24.2200,31.00,0.0
2021-10-04 14:07:50,4.6,122.2700,24.8600,10.00,0.0
2021-09-26 06:21:17,4.8,121.6700,24.4700,20.00,0.5
2021-09-13 18:41:26,4.6,121.0900,24.1300,35.00,5.0
2021-09-06 22:00:25,5.2,122.0700,23.9000,21.00,0.0
2021-09-02 18:56:58,4.4,120.5700,23.1400,5.00,36.5
2021-09-01 06:27:56,4.1,120.7300,23.2400,17.00,31.5
2021-08-23 18:56:37,4.4,122.3700,24.8000,5.00,0.0
2021-08-22 19:52:02,4.2,120.5600,23.2100,20.00,0.0
2021-08-19 15:50:56,4.0,121.6700,23.9400,8.00,15.0
2021-08-06 19:12:30,5.1,121.3100,23.1500,10.00,6.0
2021-08-06 16:11:04,5.4,122.3000,24.7600,20.00,2.5
2021-08-05 05:50:45,5.8,122.3100,24.8200,10.00,0.5
2021-07-30 06:55:17,4.3,121.6100,23.8500,6.00,5.0
2021-07-18 19:25:42,4.0,121.6900,24.0200,5.00,0.0
2021-07-16 07:29:26,4.4,121.7000,23.9400,7.00,0.0
2021-07-16 07:05:04,4.4,121.6200,23.9800,8.00,0.0
2021-07-15 01:00:45,4.3,121.6200,23.9500,10.00,0.0
2021-07-14 20:55:33,4.0,121.6900,23.9700,10.00,0.0
2021-07-14 11:36:32,4.2,121.7200,23.9400,10.00,0.0
2021-07-14 07:45:27,4.8,121.6700,23.9400,10.00,0.0
2021-07-14 06:59:25,4.4,121.6500,23.9300,10.00,0.0
2021-07-14 06:52:04,5.2,121.7300,23.8900,10.00,0.0
2021-07-08 06:11:55,5.1,121.6800,23.8800,10.00,0.0
2021-07-07 21:38:27,4.3,121.6600,23.8700,7.00,0.0
2021-07-07 19:24:58,5.3,121.6600,23.8800,9.00,0.0
2021-06-23 13:40:25,4.5,121.5000,24.0700,21.00,8.0
2021-06-20 22:50:13,4.4,121.5200,23.7800,10.00,4.5
2021-06-12 05:58:58,4.9,121.1400,22.6400,10.00,1.5
2021-05-26 00:48:00,4.3,121.5300,23.9600,21.00,0.5
2021-05-08 05:24:16,4.3,120.8500,22.6600,10.00,0.5
2021-04-28 06:10:53,4.2,120.9500,23.1400,12.00,1.0
2021-04-18 22:14:38,6.1,121.4300,23.9400,5.00,4.5
2021-04-18 22:11:39,5.6,121.5300,23.9200,7.00,0.0
2021-04-07 21:19:35,4.2,121.6000,23.8100,20.00,0.0
2021-03-04 22:24:56,4.3,122.3600,24.7500,10.00,0.0
2021-02-22 09:50:47,4.5,121.8900,22.4200,75.00,0.0
2021-02-18 02:38:47,4.6,121.4100,22.2300,16.00,0.0
